name,fuel,City,Jumlah Mobil
Ambassador,0,Anacortes,1
Ambassador,0,Arlington,1
Ambassador,0,Lafayette,1
Ambassador,0,Peachtree City,1
Ashok,0,Jacksonville,1
Audi,0,Albemarle,1
Audi,0,Albuquerque,1
Audi,0,Asheville,1
Audi,0,Atlanta,2
Audi,0,Bedford,1
Audi,0,Boston,1
Audi,0,Carpentersville,1
Audi,0,Casselberry,1
Audi,0,Cedar Hill,1
Audi,0,Chandler,1
Audi,0,Coachella,1
Audi,0,Darien,1
Audi,0,Fountain,1
Audi,0,Hobart,2
Audi,0,Jackson,1
Audi,0,Lafayette,1
Audi,0,Lawrence,1
Audi,0,Los Angeles,1
Audi,0,Oak Park,1
Audi,0,Olathe,1
Audi,0,Ossining,1
Audi,0,Palmer,1
Audi,0,Pekin,1
Audi,0,Pembroke Pines,1
Audi,0,Pennsauken,1
Audi,0,Pocatello,1
Audi,0,Portland,1
Audi,0,Prescott Valley,1
Audi,0,Seattle,1
Audi,0,Texarkana,1
Audi,0,The Colony,1
Audi,0,Waco,2
Audi,1,Saint Louis,1
Audi,1,Saint Peters,2
Audi,1,Van Buren,1
Audi,1,West Hollywood,1
BMW,0,Albemarle,1
BMW,0,Alexandria,2
BMW,0,American Fork,2
BMW,0,Ankeny,1
BMW,0,Apple Valley,2
BMW,0,Beaverton,1
BMW,0,Boston,1
BMW,0,Brentwood,1
BMW,0,Burton,1
BMW,0,Butte,1
BMW,0,Caldwell,1
BMW,0,Catonsville,1
BMW,0,Cedar Falls,1
BMW,0,Cheyenne,1
BMW,0,Chicago,1
BMW,0,Cleveland,1
BMW,0,Cleveland Heights,1
BMW,0,Cliffside Park,1
BMW,0,Cloverleaf,1
BMW,0,Coachella,1
BMW,0,Colorado Springs,1
BMW,0,Conway,1
BMW,0,Country Club Hills,1
BMW,0,Denton,1
BMW,0,Des Plaines,1
BMW,0,Douglasville,2
BMW,0,Duncanville,2
BMW,0,Dundalk,1
BMW,0,Edgewood,1
